battle_speech_cosmichorror_added	Cosmic Horror added to my deck		Carte « Horreur cosmique » ajoutée au deck.	Kosmischer Schrecken meinem Deck hinzugefügt	Se ha añadido Terror Cósmico al mazo.	Horror Cósmico adicionada ao meu baralho	宇宙恐怖已添加至我的卡组	コズミックホラーをデッキに追加した	Карта Вселенский Ужас добавлена в мою колоду
// UNUSED battle_speech_card_duplicate	Choose which card to duplicate		Choisis une carte à dupliquer.	Wähle, welche Karte verdoppelt werden soll.	¿Qué carta quieres duplicar?	Escolha qual carta duplicar	选择要复制的卡牌	コピーするカードをえらんでください	Выберите, какую карту дублировать
// UNUSED battle_speech_card_triplicate	Choose which card to triplicate		Choisis une carte à reproduire en trois exemplaires.	Wähle, welche Karte verdreifacht werden soll.	¿Qué carta quieres triplicar?	Escolha qual carta triplicar	选择要复制 3 张的卡牌	コピーを2枚作るカードをえらんでください	Выберите, какую карту утроить
battle_speech_put_on_top	Choose a card to put on top of your draw pile		Choisis une carte à placer sur le dessus de ta pioche.	Wähle eine Karte, die du auf deinen Nachziehstapel legst.	¿Qué carta quieres mover a la parte superior del mazo?	Escolha uma carta para colocar no topo da sua pilha de compras	选择 1 张牌放在抽牌堆顶	山札の一番上に置くカードをえらんでください	Укажите карту, которую нужно положить на верх колоды для розыгрыша
UNUSED_battle_tame_failed	I can't tame this Spirit at my current level!		Mon niveau actuel ne me permet pas d'apprivoiser cet esprit.	Ich kann diesen Geist auf meiner aktuellen Stufe nicht zähmen.	¡No puedo domar a este espíritu con mi nivel actual!	Não consigo domar esse Espírito no meu nível atual!	以我现在的等级，还无法驯服这个精灵！	今のレベルだと、この精霊は手なづけられない！	Я не могу приручить этого Духа на моём текущем уровне!
battle_tame_failed_boss	I can't tame a boss!		Je ne peux pas apprivoiser un boss.	Ich kann keinen Boss zähmen!	¡No puedo domar a un jefe!	Não consigo domar um chefe!	我驯服不了首领！	ボスは手なづけられない！	Я не могу приручить босса!
battle_tame_failed_minion	I can't tame a boss minion!		Je ne peux pas apprivoiser un sbire de boss.	Ich kann keinen Gehilfen zähmen!	¡No puedo domar al esbirro de un jefe!	Não consigo domar o lacaio de um chefe!	我驯服不了首领仆从！	ボスの子分は手なづけられない！	Я не могу приручить миньона!
battle_cant_feed_dizzy	I can’t feed a Spirit while it's Dizzy!		Je ne peux pas nourrir un esprit tant qu'il est étourdi.	Ich kann keinen Geist füttern, solange er betäubt ist.	¡No puedo darle de comer a un espíritu mientras sufra Mareo!	Não posso alimentar um Espírito enquanto ele está Tonto!	当精灵处于晕眩状态时，我无法给它喂食！	気絶中は精霊にアイテムをやれない！	Я не могу кормить Духа, когда он оглушен!
battle_too_many_cards	I can’t hold more than 10 cards!		Je ne peux pas avoir plus de 10 cartes en main.	Ich kann nicht mehr als 10 Karten haben!	¡No puedo tener más de 10 cartas!	Não consigo segurar mais de 10 cartas!	我的手牌不能超过 10 张！	カードは10枚より多く持てない！	Я не могу держать более 10 карт!
battle_tame_unsuccessful	The Spirit wiggled out of my grasp! Maybe I should try again...		Cet esprit ne s'est pas laissé apprivoiser ! Je ferais peut-être mieux de réessayer...	Der Geist ist mir entkommen! Ich sollte es noch einmal versuchen ...	¡Se me ha escapado el espíritu! Quizá debería intentarlo otra vez...	O Espírito saiu do meu alcance! Talvez eu deva tentar novamente...	精灵从我的掌控中挣脱！可能要再试一次……	精霊が逃げちゃった！ もう1回挑戦してみようか…	Дух вырвался! Может, стоит попробовать ещё раз...
									
battle_card_retain	Retain.		Conservation	Behalten.	Conservar.	Retenção.	始终保留。	保持。	Удерживается
battle_card_exhaust	Exhaust.		Élimination	Erschöpfen.	Consumir.	Exaustão.	耗尽。	消耗。	Сжигается
battle_draw	Draw		Pioche	Ziehen	Robar	Comprar	抽牌	引く	Взять
battle_discard	Discard		Défausse	Abwerfen	Descartar	Descartar	弃牌	捨てる	Сбросить
									
battle_condition_wears_off	wears off!		: dissipation !	klingt ab!	desaparece.	acabou!	消退！	効果が切れた！	заканчиваются!
battle_conditions_wear_off	wear off!		: dissipation !	klingen ab!	desaparecen.	acabou!	消退！	効果が切れた！	заканчивается!
									
battle_intent_multiple_targets	{number} targets		{number} cibles	{number} Ziele	Objetivos: {number}	{number} alvos	{number} 个目标	{number} ターゲット	{number} цели
									
									
	BATTLE VICTORY		VICTOIRE	SIEG	HAS GANADO EL COMBATE	VITÓRIA	战斗胜利	勝利	ПОБЕДА!
victory_upgrade_loot	Loot found!^{name}		Butin trouvé !^{name}	Beute gefunden!^{name}	¡Botín encontrado!^{name}	Saque encontrado!^{name}	发现战利品！^{name}	戦利品発見！^{name}	Награда^{name}
									
victory_bonus_untouched	Untouched		Indemne	Unberührt	Indemne	Intocado	毫发无伤	無傷	Невредимый
victory_bonus_bashem	Bash 'Em		Armure détruite	Bäm!	Aniquilación	Golpeie!	痛击	アーマーゼロ	Бронебой
victory_bonus	Bonus		Bonus	Bonus	Bonificación	Bônus	奖励	ボーナス	Бонус
									
victoryLeveledUp	{name} grew to level {level}!		{name} est passé au niveau {level} !	{name} ist jetzt Stufe {level}!	¡{name} ha subido al nivel {level}!	{name} subiu para o nível {level}!	{name}已成长到 {level}！	{name} がレベル{level}に上がった！	Дух {name} достиг уровня {level}!
victoryGainedXP	{name} gained {points} experience points!		{name} a gagné {points} points d'expérience !	{name} hat {points} Erfahrungspunkte erhalten!	¡{name} ha ganado {points} puntos de experiencia!	{name} recebeu {points} pontos de experiência!	{name}获得 {points} 点经验！	{name} が経験値を {points} 獲得した！	Дух {name} получил {points} очков опыта!
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									

		COMMENTS	FR	DE	ES	BR	CN	JP	RU
									
	// SETTINGS MENU								
settings_tab_game	Game		Jeu	Spiel	Juego	Jogo	游戏	ゲーム	Игра
settings_tab_display	Display		Affichage	Anzeige	Interfaz	Vídeo	显示	ディスプレイ	Экран
settings_tab_audio	Audio		Son	Audio	Sonido	Áudio	音频	オーディオ	Аудио
settings_tab_keyboard	Keyboard		Clavier	Tastatur	Teclado	Teclado	键盘	キーボード	Клавиатура
settings_tab_gamepad	Gamepad		Manette	Gamepad	Mando	Controle	游戏控制器	ゲームパッド	Контроллер
settings_tab_controls	Controls		Commandes	Steuerung	Controles	Controles	操作键位	コントロール	Управление
settings_tab_gameplay	Gameplay		Gameplay	Gameplay	Jugabilidad	Jogabilidade	游戏玩法	ゲームプレイ	Опции игры
settings_tab_credits	Credits		Crédits	Mitwirkende	Créditos	Créditos	制作人员	クレジット	Создатели
									
settings_menu_return	Continue		Continuer	Fortfahren	Continuar	Continuar	继续	コンティニュー	Продолжить
settings_menu_save	Save		Sauvegarder	Speichern	Guardar	Salvar	保存	セーブ	Сохранить игру
settings_menu_exit	Exit to menu		Retour au menu	Zurück zum Menü	Ir al menú	Sair para o menu	退出到菜单	終了してメニューへ	Выход в меню
settings_menu_quit_game	Exit to desktop		Retour au bureau	Zum Desktop zurückkehren	Salir al escritorio	Sair para a área de trabalho	退出到桌面	終了してデスクトップへ	Выход на рабочий стол
									
setting_display_fullscreen	Fullscreen		Plein écran	Vollbild	Pantalla completa	Tela cheia	全屏	フルスクリーン	Полноэкранный режим
setting_display_minimap	Show minimap		Afficher la mini-carte	Minikarte anzeigen	Mostrar minimapa	Mostrar minimapa	显示小地图	ミニマップ表示	Показывать миникарту
setting_display_icons	Show minimap icons		Afficher les icônes sur la mini-carte	Minikartensymbole anzeigen	Mostrar iconos del minimapa	Mostrar ícones do minimapa	显示小地图图标	ミニマップアイコン表示	Отображать иконки на мини-карте
setting_display_clock	Show clock		Afficher l'heure	Uhr anzeigen	Mostrar reloj	Mostrar relógio	显示时钟	時計表示	Показывать часы
setting_display_spirit_levels	Show Spirit levels in overworld		Afficher le niveau des esprits	Geisterstufen in Welt anzeigen	Mostrar el nivel de los espíritus	Mostrar nível dos Espíritos em jogo	显示主世界的精灵等级	フィールドで精霊のレベル表示	Показывать уровень диких Духов
setting_display_control_hints	Show control hints		Afficher les conseils	Steuerungstipps anzeigen	Mostrar ayuda de controles	Mostrar dicas de controles	显示控制提示	操作ヒント表示	Показывать подсказки по управлению
